4840	MPI	UKSW06-240	50.4	-4.9
4857	MPI	UKSW06-257	50.3	-4.9
4884	Monsanto	UKSW06-285	50.3	-4.9
4900	Monsanto	UKSW06-302	50.3	-4.8
4939	MPI	UKSW06-341	50.4	-4.7
4958	Monsanto	UKSW06-360	50.5	-4.5
5023	Monsanto	UKSE06-118	51.3	0.5
5104	Monsanto	UKSE06-252	51.3	0.5
5151	Monsanto	UKSE06-325	52.2	-1.7
5165	Monsanto	UKSE06-362	51.3	0.4
5210	Monsanto	UKSE06-432	51.2	0.3
5236	Monsanto	UKSE06-470	51.2	0.4
5249	MPI	UKSE06-491	51.2	0.3
5253	Monsanto	UKSE06-500	51.1	0.6
5276	Monsanto	UKSE06-533	51.3	1.1
5279	MPI	UKSE06-541	51.3	1.1
5349	Monsanto	UKSE06-639	51.1	0.4
5353	Monsanto	UKNW06-003",Wordsworth Trust, nr Grasmere
5395	MPI	UKNW06-102", east side	54.4
5486	Monsanto	UKNW06-233	54.6	-3.3
5577	Monsanto	UKNW06-403	54.7	-3.4
5644	Monsanto	UKNW06-481	54.4	-2.9
5651	MPI	UKNW06-488	54.4	-2.9
5717	MPI	Bra-1	54.6	-3.2
5718	MPI	UKID11	57	-3.4
5720	Monsanto	Cal-2	53.3	-1.6
5726	Monsanto	Cnt-1	51.3	1.1
5741	Monsanto	For-2	56.6	-4.1
5748	Monsanto	Kil-0	56	-4.4
5757	Monsanto	Mc-1	54.6	-2.3
5768	Monsanto,MPI	Ripon	54.1
5772	Monsanto	Set-1	54.1	-2.3
5776	MPI	UKID71	52.9	-1.3
5779	Monsanto	UKID74	51	-3.1
5784	Monsanto	Ty-1	56.4	-5.2
5798	MPI	UKID93	53.1	-3.3
5800	Monsanto	UKID96	57.4	-5.5
5811	Monsanto	UKID107	52.9	-3.1
5822	Monsanto	UKID116	56.7333	-5.98333
5830	GMI	App1-12	56.3333	15.9667
5831	GMI	App1-14	56.3333	15.9667
5832	GMI	App1-16	56.3333	15.9667
5836	GMI	Boo2-3	55.86	13.51
5837	Salk	Bor-1	49.4013	16.2326
5856	GMI	DÃ¶r-10	63.0167	17.4914
5860	GMI	Dra-3	62.6814	18.0165
5865	GMI	Dra1-4	55.76	14.12
5867	GMI	Dra2-1	55.76	14.12
5874	Monsanto	DraII-6	49.4112	16.2815
5890	Monsanto	DraIV 1-8	49.4112	16.2815
5893	Monsanto	DraIV 1-11	49.4112	16.2815
5907	Monsanto	DraIV 2-9	49.4112	16.2815
5921	Monsanto	DraIV 3-7	49.4112	16.2815
5950	Monsanto	DraIV 5-12	49.4112	16.2815
5984	Monsanto	DraIV 6-13	49.4112	16.2815
5993	Monsanto	DraIV 6-22	49.4112	16.2815
6008	Salk	Duk	49.1	16.2
6009	GMI	Eden-1	62.877	18.177
6010	GMI	Eden-5	62.877	18.177
6011	GMI	Eden-6	62.877	18.177
6012	GMI	Eden-7	62.877	18.177
6013	GMI	Eden-9	62.877	18.177
6016	GMI	Eds-1	62.9	18.4
6017	GMI	Eds-9	62.9	18.4
6019	GMI	FjÃ¤1-2	56.06	14.29
6020	GMI	FjÃ¤1-5	56.06	14.29
6021	GMI	FjÃ¤2-4	56.06	14.29
6022	GMI	FjÃ¤2-6	56.06	14.29
6023	GMI	Fly2-1	55.7509	13.3712
6024	GMI	Fly2-2	55.7509	13.3712
6025	GMI	Gro-3	62.6437	17.7339
6030	GMI	GrÃ¶n-5	62.806	18.1896
6034	GMI	Hov1-7	56.1	13.74
6035	GMI	Hov1-10	56.1	13.74
6036	GMI	Hov3-2	56.1	13.74
6038	GMI	Hov3-5	56.1	13.74
6039	GMI	Hovdala-2	56.1	13.74
6040	GMI	Kni-1	55.66	13.4
6041	GMI	Lis-3	56.0328	14.775
6042	GMI	Lom1-1	56.09	13.9
6043	GMI	LÃ¶v-1	62.801	18.079
6046	GMI	LÃ¶v-5	62.801	18.079
6064	GMI	Nyl-2	62.9513	18.2763
6069	GMI	Nyl-7	62.9513	18.2763
6070	GMI	Omn-1	62.9308	18.3448
6071	GMI	Omn-5	62.9308	18.3448
6073	GMI	ÃMÃ¶1-7	56.1481	15.8155
6074	GMI	Ãr-1	56.4573	16.1308
6076	GMI	Rev-2	55.6942	13.4504
6077	GMI	Rev-3	55.6942	13.4504
6085	GMI	Sparta-1	55.7097	13.2145
6086	GMI	Sr:3	58.9	11.2
6087	GMI	Stu-2	56.4666	16.1284
6088	GMI	Stu1-1	56.4666	16.1284
6090	GMI	T1000	55.6525	13.2197
6091	GMI	T1010	55.6525	13.215
6092	GMI	T1020	55.6514	13.2233
6094	GMI	T1040	55.6494	13.2147
6095	GMI	T1050	55.6486	13.2161
6096	GMI	T1060	55.6472	13.2225
6097	GMI	T1070	55.6481	13.2264
6098	GMI	T1080	55.6561	13.2178
6099	GMI	T1090	55.6575	13.2386
6100	GMI	T1110	55.6	13.2
6101	GMI	T1120	55.6	13.2
6102	GMI	T1130	55.6	13.2
6104	GMI	T1160	55.7	13.2
6105	GMI	T450	55.7967	13.1211
6106	GMI	T460	55.7931	13.1186
6107	GMI	T470	55.7942	13.1222
6108	GMI	T480	55.7989	13.1206
6109	GMI	T510	55.7936	13.1233
6111	GMI	T530	55.7989	13.1219
6112	GMI	T540	55.7967	13.1044
6113	GMI	T550	55.8078	13.1028
6114	GMI	T570	55.8097	13.1342
6115	GMI	T580	55.8	13.1367
6118	GMI	T610	55.7	13.2
6119	GMI	T620	55.7	13.2
6122	GMI	T670	55.8364	13.3075
6123	GMI	T680	55.8369	13.3033
6124	GMI	T690	55.8378	13.3092
6125	GMI	T710	55.8403	13.3106
6126	GMI	T720	55.8411	13.3047
6128	GMI	T740	55.8397	13.2881
6131	GMI	T780	55.8369	13.3181
6132	GMI	T790	55.8386	13.3186
6133	GMI	T800	55.8364	13.2906
6134	GMI	T810	55.8383	13.2906
6136	GMI	T840	55.9336	13.5519
6137	GMI	T850	55.9419	13.5603
6138	GMI	T860	55.9403	13.5511
6140	GMI	T880	55.9392	13.5539
6141	GMI	T890	55.9414	13.5542
6142	GMI	T900	55.9428	13.5558
6145	GMI	T930	55.9497	13.5533
